,수신,날짜,거래조건,출발지,도착지,CBM,중량,OCEAN FREIGHT,THC,WHARFAGE,DOCUMENT FEE,TRUCKING CHG,HANDLING CHG,INSURANCE FEE,AGENCY FEE,CLEARANCE,LOCAL CHG,CLEANING CHG,SEAL CHG,검역증명서,원산지증명서,DRAYAGE CHG,PACKING CHG,PSF,PFS,DG CHG,ETC,TOTAL
0,(주)포앤테크,2024-03-05 00:00:00,CIF,PYEONGTAEK,베트남,20 FT,20000.0,199725.0,130000.0,2200.0,50000.0,199980.0,22000.0,19972.0,,22000.0,,,8000.0,,,,,,232.0,66575.0,,720685.0
1,(주)포앤테크,2024-03-05 00:00:00,CIF,PYEONGTAEK,베트남,20 FT,20000.0,266300.0,130000.0,2200.0,50000.0,199980.0,22000.0,19972.0,,22000.0,,,8000.0,,,,,,232.0,66575.0,,787260.0
2,경성건설㈜,2022-12-07 00:00:00,DDP,BUSAN,필리핀,0.676,,26436.0,31183.0,40085.0,208616.0,251142.0,33000.0,,132180.0,92526.0,,,,,,6586.0,,,,,17844.0,973952.0
3,글로벌부동산컨설팅 주식회사,2021-11-15 00:00:00,CFR,BUSAN,필리핀,40 FT,,1539590.0,180000.0,9012.0,88500.0,365200.0,55000.0,,,27280.0,,,,,,,,,,,71058.0,2345640.0
4,글로벌부동산컨설팅 주식회사,2022-08-30 00:00:00,CFR,BUSAN,필리핀,20 FT,,1904000.0,130000.0,4429.0,88500.0,271150.0,55000.0,,,27280.0,,,10000.0,,,,,,,,244800.0,2735159.0
5,글로벌부동산컨설팅 주식회사,2021-11-15 00:00:00,CFR,BUSAN,필리핀,20 FT,,1104468.0,130000.0,4286.0,88500.0,204600.0,55000.0,,,27280.0,,,10000.0,,,,,,,,71256.0,1695390.0
6,글로벌부동산컨설팅 주식회사,2020-10-30 00:00:00,CFR,BUSAN,필리핀,20 FT,,1045087.9999999999,130000.0,4286.0,88500.0,284020.0,55000.0,,,27280.0,,,10000.0,,,,,,,,71256.0,1918930.0
7,글로벌부동산컨설팅 주식회사,2021-10-21 00:00:00,CFR,INCHEON,필리핀,20 FT,,785400.0,130000.0,4200.0,73000.0,315189.0,55000.0,,,22000.0,,,8000.0,,,,,,,,84150.0,1476938.5
8,글로벌부동산컨설팅 주식회사,2020-10-30 00:00:00,CFR,BUSAN,필리핀,4.1,,322789.0,26649.999999999996,1398.0,73000.0,198000.0,55000.0,,,22000.0,,,,,,43050.0,,,,,,741887.0
9,글로벌부동산컨설팅 주식회사,2020-06-31,CFR,INCHEON,필리핀,20 FT,,599300.0,130000.0,4420.0,73000.0,253000.0,55000.0,,,22000.0,330000.0,,8000.0,,,,,,,,,1582594.0
10,글로벌부동산컨설팅 주식회사,2020-06-31,CFR,INCHEON,필리핀,20 FT,,599300.0,130000.0,4420.0,73000.0,671000.0,55000.0,,,22000.0,,,8000.0,,,,,,,,107873.99999999999,1670594.0
11,글로벌부동산컨설팅 주식회사,2021-01-10 00:00:00,CFR,INCHEON,필리핀,40 FT,,1336560.0,180000.0,8400.0,83000.0,344474.0,55000.0,,,22000.0,,,8000.0,,,,,,2000.0,,66828.0,2106261.0
12,글로벌부동산컨설팅 주식회사,2021-06-31,CFR,INCHEON,필리핀,20 FT,,810319.9999999999,130000.0,4286.0,88500.0,165000.0,55000.0,,,22000.0,330000.0,,10000.0,,,,,,,,59038.0,1674143.0
13,남상규 대표님,2022-10-05 00:00:00,FOB,INCHEON,태국,40 FT,,968284.0,180000.0,8840.0,50000.0,485200.0,33000.0,,72260.0,21678.0,,50000.0,,,,,,474.0,172.0,,,1869908.0
14,다올씨앤씨,2023-01-17 00:00:00,DDP,BUSAN,남아프리카공화국,20 FT,,2910030.2,286618.0,4420.0,110000.0,1476442.0,63312.0,18734.0,,22000.0,,,10000.0,,,,,,86.0,,,4902891.0
15,㈜디자인애드핏,2022-06-20 00:00:00,FOB,중국,BUSAN,40 FT,,1245599.6,180000.0,8840.0,50000.0,404182.0,55000.0,,,59484.0,,40000.0,,,,,,,172.0,,1016816.0,3060093.0
16,BS메디칼,2022-11-28 00:00:00,DAP,BUSAN,칠레,0.495,20.94,1164465.0,14000.0,431.0,178670.0,611878.0,33000.0,20201.0,713751.0,183604.0,,,,,,139670.0,,,,,9427.0,3069096.0
17,ELD_엘드,2023-08-08 00:00:00,EXW,중국,INCHEON,20 FT,,426144.0,303121.0,4200.0,149878.0,722852.0,55000.0,19976.0,99878.0,108561.0,,35000.0,,,,,,237.0,86.0,,133170.0,2078076.0
18,Play Edupark,2023-01-15 00:00:00,EXW,덴마크,BUSAN,1.584,289.0,346590.0,22176.0,34678.0,118273.0,643596.0,73964.0,,,42482.0,,3960.0,,,,44000.0,,,,,2731.0,1352932.0
19,India,2023-03-06 00:00:00,FOB,INCHEON,인도,20 FT,,,180000.0,8400.0,50000.0,333850.0,33000.0,,,22000.0,,,10000.0,,,,,474.0,172.0,,,637896.0
20,INO TRADING,2024-04-03 00:00:00,FOB,중국,INCHEON,40 FT,,684216.0,180000.0,8400.0,50000.0,,22000.0,,,22000.0,,50000.0,,,,,,,646.0,,697632.0,1714894.0
21,INO TRADING,2024-04-03 00:00:00,FOB,중국,INCHEON,20 FT,,550056.0,130000.0,4200.0,50000.0,,22000.0,,,,,35000.0,,,,,,,323.0,,348816.0,1162395.0
22,"QINGDAO QUANHAOYUAN INT'L TRADE CO.,LTD",2023-02-20 00:00:00,FOB,중국,INCHEON,4.68,1200.0,,212586.0,,41294.0,185827.0,41295.0,20647.0,41295.0,34412.0,,,,,,,,,,,,577359.0
23,SIDM,2023-01-18 00:00:00,DDP,INCHEON,프랑스,4.68,,63551.0,182729.0,431.0,201980.0,497946.0,66746.0,,37795.0,224475.0,,,,,,5000.0,,,,,80596.0,1361247.0
24,Teczen,2023-02-21 00:00:00,CIF,INCHEON,네덜란드,40 FT,,1049336.8,190000.0,8572.0,50000.0,232100.0,33000.0,19626.0,,22000.0,,,10000.0,,,,,474.0,172.0,,952515.0,2829476.0
25,triorack,2022-12-09 00:00:00,FOB,중국,INCHEON,0.037,,13333.0,56100.0,2417.0,50000.0,141017.0,33000.0,,39999.0,22000.0,,18700.0,,,,102300.0,,,,,289220.0,693733.0
26,Y&A,2023-02-07 00:00:00,FOB,중국,INCHEON,0.091,800.0,508159.0,63789.0,1554.0,50000.0,115500.0,33000.0,,24784.0,22000.0,,11391.0,,,,56100.0,,,,,,923453.0
27,yiyuna,2022-06-20 00:00:00,FOB,인도네시아,INCHEON,20 FT,,294308.0,180000.0,8840.0,50000.0,38388.0,706680.0,19194.0,,53990.0,,35000.0,,,,,,237.0,172.0,,546606.0,917865.0
28,VART,2021-02-30,EXW,이탈리아,BUSAN,2.97,,33775.0,22275.0,7509.0,97634.0,627828.0,249432.0,,,76439.0,,7425.0,,,,66000.0,,,,,2722.0,2278706.0
29,랜워드코리아,2022-10-30 00:00:00,FOB,인도,BUSAN,1,40.0,42606.0,7500.0,350.0,113909.0,337267.0,46867.0,,42606.0,22000.0,,2500.0,,,,11000.0,,,,,,633104.2
30,마레,2022-12-21 00:00:00,EXW,이탈리아,INCHEON,0.125,20.0,180390.0,14000.0,341.0,50000.0,330396.0,33000.0,,,,193425.0,2500.0,,,,91844.0,,,,,,917896.0
31,바이담,2022-11-03 00:00:00,EXW,타이페이,BUSAN,1.778,248.0,112024.0,24892.0,607.0,143067.0,456247.0,43194.0,,71590.0,100226.0,,4445.0,,,,109306.0,,,,,,1143560.0
32,바이담,2022-11-03 00:00:00,EXW,타이페이,INCHEON,1.778,248.0,137481.0,24892.0,607.0,143067.0,418883.0,43194.0,,71590.0,100226.0,,4445.0,,,,137754.0,,,,,12729.0,1172830.0
33,백송이전문점,2023-02-27 00:00:00,FOB,중국,INCHEON,0.399,135.0,629207.0,83849.0,2043.0,50000.0,39396.0,33000.0,,,22000.0,,14973.0,,,,62700.0,,,172.0,,,937340.0
34,삼정테크,2023-01-30 00:00:00,CFR,INCHEON,방글라데시,20 FT,,1304310.0,130000.0,4200.0,50000.0,273130.0,33000.0,18734.0,,,,,10000.0,,,,,237.0,86.0,,,1845697.0
0,주식회사 경기에스티,2024-04-25,FCA,중국,INCHEON,20 FT,530.0,283424.8,130000.0,4200.0,40000.0,738512.0,319250.0,0.0,0.0,22000.0,677454.4,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.0,359465.6,2609635.8
1,Oasis,2024-05-07,FOB,중국,INCHEON,0.588,341.0,103333.5,0.0,0.0,50000.0,148500.0,22000.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345833.5
2,PARCPARC,2024-01-09,FOB,캐나다,BUSAN,6.3,240.0,1025269.875,88200.0,0.0,50000.0,286000.0,22000.0,19528.95,0.0,22000.0,65096.5,15750.0,0.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1703845.325
3,Somang Top Sdn Bhd,2022-01-28,DDU,INCHEON,말레이시아,20 FT,0.0,2180595.0,271729.0,8240.0,73574.0,960971.0,64828.0,0.0,117870.0,22000.0,380000.0,9430.0,10000.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,235740.0,4335059.0
4,SSC,2024-04-12,CIF,BUSAN,중국,20 FT,0.0,40460.4,180000.0,4200.0,50000.0,506000.0,22000.0,20230.2,0.0,22000.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,243.0,0.0,0.0,853133.6
5,SUSTAINABLELAB,2024-01-03,FOB,중국,INCHEON,4.88,587.0,571047.84,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615047.84
6,TEMCO WORLD,2024-03-21,FOB,중국,INCHEON,40 FT,0.0,1684375.0,3720000.0,8400.0,50000.0,2335850.0,459250.0,0.0,0.0,66000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.0,0.0,970200.0,9294721.0
7,Unilab Hub,2024-05-03,FCA,BUSAN,미국,1.35,296.0,322801.19,18900.0,450.0,50000.0,365175.0,22000.0,20670.3,0.0,22000.0,496087.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1318083.49
8,Unilab Hub,2024-01-29,FCA,BUSAN,미국,20 FT,2400.0,5180734.0,130000.0,4200.0,50000.0,831391.0,22000.0,20613.0,0.0,22000.0,672671.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,6943695.0
9,venuto,2023-11-21 00:00:00,FOB,인도,INCHEON,9,1950.0,496737.0,14000.0,323.0,40000.0,39424.0,33000.0,19712.0,91988.0,33000.0,0.0,0.0,0.0,0.0,0.0,59000.0,0.0,0.0,0.0,0.0,0.0,827184.0
10,개인화물,2023-12-06,CIF,BUSAN,이탈리아,1.44,1000.0,85160.0,28000.0,0.0,40000.0,0.0,33000.0,21290.0,70967.0,234900.0,745148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258465.0
11,㈜거화,2024-01-17,DDU,INCHEON,중국,40 FT,18000.0,302528.19999999995,180000.0,8400.0,50000.0,2428717.8,22000.0,0.0,0.0,22000.0,1193013.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,4214831.0
12,건호 코퍼레이션,2023-12-21 00:00:00,CIF,BUSAN,멕시코,40 FT,0.0,3976285.0,190000.0,8858.0,80000.0,245667.0,33000.0,19556.0,0.0,128811.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,4692349.0
13,구매대행 이음,2024-04-08 00:00:00,FOB,중국,BUSAN,20 FR,0.0,723613.0,3690000.0,4200.0,50000.0,78940.0,55000.0,0.0,0.0,44000.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,323.0,0.0,473637.60000000003,5169713.6
14,김정태 선교사님,2022-08-01,CFR,BUSAN,탄자니아,20 FT,1890.0,3909881.0,130000.0,4420.0,40000.0,0.0,42809.0,0.0,0.0,33000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,4170196.0
15,㈜나진테크,2024-03-14,FOB,중국,GWANGYANG,40 FT,0.0,386437.0,190000.0,2742.0,50000.0,613186.0,33000.0,0.0,0.0,62150.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,646.0,0.0,1066032.0,2454193.0
16,㈜낫소,2023-11-23 00:00:00,DAP,BUSAN,체코,0.25,31.0,78000.0,14000.0,323.0,40000.0,380391.0,33000.0,0.0,0.0,22000.0,205809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773523.0
17,㈜낫소,2023-11-23 00:00:00,CFR,BUSAN,벨기에,0.25,31.0,19712.0,14000.0,323.0,40000.0,0.0,33000.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129035.0
18,내쇼날무역통신㈜,2023-08-18,DDP,BUSAN,LONG BEACH,5.08,390.0,458934.0,70000.0,27930.0,40000.0,563833.0,468331.0,0.0,85231.0,185905.0,0.0,0.0,0.0,45893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946057.0
19,동부엠티비,2024-01-11,FOB,중국,INCHEON,2.26,60.0,58717.0,31500.0,0.0,50000.0,77000.0,22000.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,56000.0,0.0,0.0,0.0,0.0,156557.0,473774.0
20,드림메디컬그룹,2023-09-06,DPU,INCHEON,미국,40 FT,1755.0,3042808.0,180000.0,8400.0,55000.0,225500.0,385000.0,0.0,0.0,94689.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,474.0,172.0,0.0,0.0,4012043.0
21,디자인 드림,2023-11-09,FOB,중국,INCHEON,0.03,5.0,40529.0,0.0,0.0,0.0,176000.0,27019.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265548.0
22,로스팅마스터즈,2023-11-17 00:00:00,CFR,베트남,INCHEON,0.17,18.0,14000.0,0.0,0.0,40000.0,99000.0,33000.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188500.0
23,주식회사 가드원,2023-10-26,FOB,인도네시아,BUSAN,40 FT,8500.0,257047.0,180000.0,8400.0,50000.0,0.0,33000.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,578619.0
24,주식회사 가드원,2023-10-26,FOB,인도네시아,BUSAN,20 FT,8500.0,155581.0,130000.0,4200.0,50000.0,0.0,33000.0,0.0,0.0,0.0,0.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,407867.0
25,주식회사 가드원,2023-10-26,FOB,인도네시아,BUSAN,40 FT,8500.0,798199.0,180000.0,8400.0,50000.0,0.0,33000.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,1119771.0
26,주식회사 가드원,2023-10-26,FOB,인도네시아,BUSAN,20 FT,8500.0,527623.0,130000.0,4200.0,50000.0,0.0,33000.0,0.0,0.0,0.0,0.0,35000.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,779909.0
27,청암네트웍스,2023-10-25,FOB,미국,BUSAN,40 FT,6000.0,473508.0,180000.0,8400.0,50000.0,847000.0,33000.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,1642080.0
28,함박행복,2023-10-02 00:00:00,CIF,BUSAN,멕시코,20 FT,2000.0,2771109.0,140000.0,4429.0,55000.0,671000.0,33000.0,20081.0,0.0,73053.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,323.0,0.0,0.0,3777995.0
0, (주)아이히트코리아,2023-10-12 00:00:00,FOB,중국,INCHEON,40 FT,9555.0,270754.0,180000.0,8400.0,40000.0,,33000.0,,,107710.0,,50000.0,,,,,,,172.0,,743585.0,1394470.0
1,주식회사 에이치제이테크,2023-10-23 00:00:00,FOB,중국,INCHEON,20 FT,,274050.0,130000.0,4200.0,50000.0,516250.0,39150.0,,,22000.0,,35000.0,,,,,,,,,378450.0,1409950.0
2,주식회사 에이치제이테크,2023-10-23 00:00:00,FOB,중국,INCHEON,40 FT,,456750.0,180000.0,8400.0,50000.0,571250.0,39150.0,,,22000.0,,50000.0,,,,,,,,,639930.0,2056160.0
3,주식회사 에이치제이테크,2023-10-23 00:00:00,EXW,중국,INCHEON,40 FT,,198150.0,130000.0,4200.0,50000.0,517050.0,39630.0,,,22000.0,,35000.0,,,,,,,,,303830.0,3186248.0
4,매드웍스,2024-01-25 00:00:00,FOB,중국,BUSAN,20 FT,3500.0,106368.0,130000.0,4200.0,40000.0,,22000.0,,,22000.0,,35000.0,,,,,,86.0,,,345696.0,705350.0
5,매드웍스,2024-01-25 00:00:00,FOB,중국,BUSAN,20 FT,3500.0,265920.0,130000.0,4200.0,40000.0,,22000.0,,,22000.0,,35000.0,,,,,,86.0,86.0,,,519206.0
6,매드웍스,2024-01-25 00:00:00,FOB,중국,BUSAN,20 FT,3500.0,132960.0,130000.0,4200.0,40000.0,,22000.0,,,,,35000.0,,,,,,,86.0,,345696.0,731942.0
7,면상호,2024-02-29 00:00:00,CFR,BUSAN,캐나다,40 FT,20000.0,5507330.0,345000.0,8400.0,50000.0,286000.0,22000.0,,,,,,10000.0,,,,,,,,,6250730.0
8,면상호,2024-02-29 00:00:00,CFR,BUSAN,캐나다,20 FT,20000.0,6670700.0,345000.0,8400.0,50000.0,286000.0,22000.0,,,22000.0,,,10000.0,,,,,,,,,7414100.0
9,버드코,2022-03-03 00:00:00,DPU,BUSAN,캐나다,13.189,1400.0,2139163.0,98918.0,144196.0,110000.0,1324773.0,130228.0,,153906.0,22000.0,142067.0,,,82872.0,,25800.0,,,,,3862833.0,9249996.0
10,버드코,2022-03-03 00:00:00,DPU,BUSAN,캐나다,10.53,1053.0,1707892.0,625476.0,143290.0,110000.0,5480583.0,130228.0,,153906.0,93040.0,142067.0,,,82872.0,,25800.0,632500.0,,,,3107022.0,8520686.0
11,㈜벤스랩,2022-07-13 00:00:00,DAP,BUSAN,폴란드,7.68,1320.0,593271.0,1408940.0,2542.0,50000.0,1832252.0,42487.0,,66261.0,192431.0,,,,,,,,,,,2593506.0,6732326.0
12,㈜벤스랩,2022-07-13 00:00:00,DAP,BUSAN,폴란드,1,330.0,77249.0,126643.0,331.0,50000.0,591319.0,42487.0,,66261.0,121391.0,,,,,,,,,,,397332.0,1473012.0
