斥档,朝楼,scfi
2013,1岿 3老,1148.08
2013,1岿 10老,1232.35
2013,1岿 17老,1245.84
2013,1岿 24老,1227.84
2013,1岿 31老,1219.39
2013,2岿 7老,1208.37
2013,2岿 14老,1208.37
2013,2岿 21老,1165.35
2013,2岿 28老,1117.04
2013,3岿 7老,1072.81
2013,3岿 14老,1213.31
2013,3岿 21老,1156.63
2013,3岿 28老,1151.47
2013,4岿 4老,1141.22
2013,4岿 11老,1117.24
2013,4岿 18老,1086.04
2013,4岿 25老,1049.02
2013,5岿 2老,1026.85
2013,5岿 9老,1009.48
2013,5岿 16老,990.78
2013,5岿 23老,991.25
2013,5岿 30老,1013.71
2013,6岿 6老,981.73
2013,6岿 13老,954.8
2013,6岿 20老,927.53
2013,6岿 27老,1133.14
2013,7岿 4老,1118.13
2013,7岿 11老,1084.41
2013,7岿 18老,1071.1
2013,7岿 25老,1088.45
2013,8岿 1老,1162.75
2013,8岿 8老,1141.49
2013,8岿 15老,1117.32
2013,8岿 22老,1083.99
2013,8岿 29老,1109.14
2013,9岿 5老,1071.03
2013,9岿 12老,1011.65
2013,9岿 19老,990.97
2013,9岿 26老,936.89
2013,10岿 3老,936.89
2013,10岿 10老,894.41
2013,10岿 17老,881.74
2013,10岿 24老,892.47
2013,10岿 31老,1128.75
2013,11岿 7老,1090.16
2013,11岿 14老,1089.35
2013,11岿 21老,1039.5
2013,11岿 28老,996.52
2013,12岿 5老,970.85
2013,12岿 12老,1117.3
2013,12岿 19老,1115.29
2013,12岿 26老,1113.73
2014,1岿 2老,1176.12
2014,1岿 9老,1167.53
2014,1岿 16老,1188.44
2014,1岿 23老,1173.99
2014,1岿 30老,1168.25
2014,2岿 6老,1164.7
2014,2岿 13老,1094.83
2014,2岿 20老,1036.86
2014,2岿 27老,981.06
2014,3岿 6老,934.39
2014,3岿 13老,945.32
2014,3岿 20老,929.43
2014,3岿 27老,1067.44
2014,4岿 3老,1064.87
2014,4岿 10老,1067.42
2014,4岿 17老,1047.97
2014,4岿 24老,1068.18
2014,5岿 1老,1143.87
2014,5岿 8老,1163.06
2014,5岿 15老,1161.39
2014,5岿 22老,1115.36
2014,5岿 29老,1108.64
2014,6岿 5老,1088.41
2014,6岿 12老,1075.43
2014,6岿 19老,1042.84
2014,6岿 26老,1058.67
2014,7岿 3老,1129.42
2014,7岿 10老,1100.15
2014,7岿 17老,1080.06
2014,7岿 24老,1060.75
2014,7岿 31老,1195.36
2014,8岿 7老,1171.63
2014,8岿 14老,1120.82
2014,8岿 21老,1076.47
2014,8岿 28老,1107.19
2014,9岿 4老,1133.85
2014,9岿 11老,1069.11
2014,9岿 18老,997.25
2014,9岿 25老,935.81
2014,10岿 2老,935.81
2014,10岿 9老,911.03
2014,10岿 16老,962.72
2014,10岿 23老,967.31
2014,10岿 30老,1112
2014,11岿 6老,1062.46
2014,11岿 13老,1050.72
2014,11岿 20老,1012.67
2014,11岿 27老,949.65
2014,12岿 4老,919
2014,12岿 11老,1135.55
2014,12岿 18老,1120.33
2014,12岿 25老,1076.63
2015,1岿 1老,1048.88
2015,1岿 8老,1006.34
2015,1岿 15老,1055.09
2015,1岿 22老,1091.48
2015,1岿 29老,1054.13
2015,2岿 5老,1087.32
2015,2岿 12老,1088.28
2015,2岿 19老,1088.28
2015,2岿 26老,1023.04
2015,3岿 5老,960.29
2015,3岿 12老,887.61
2015,3岿 19老,821.39
2015,3岿 26老,804.59
2015,4岿 2老,763.95
2015,4岿 9老,792.92
2015,4岿 16老,721.61
2015,4岿 23老,702.46
2015,4岿 30老,761.02
2015,5岿 7老,830.13
2015,5岿 14老,757.66
2015,5岿 21老,676.05
2015,5岿 28老,661.55
2015,6岿 4老,623.47
2015,6岿 11老,581.25
2015,6岿 18老,556.72
2015,6岿 25老,640.64
2015,7岿 2老,745.45
2015,7岿 9老,666.02
2015,7岿 16老,593.2
2015,7岿 23老,548.77
2015,7岿 30老,822.39
2015,8岿 6老,749.62
2015,8岿 13老,745.6
2015,8岿 20老,674.54
2015,8岿 27老,690.38
